                    Time        Lat         Lon  Unscaled      IMIC RADS GIM
210  2016-05-17 02:36:00 -41.993289  102.999108 -0.002502 -0.006888  -0.0001
211  2016-05-17 04:20:00 -52.326691   73.546845 -0.009773 -0.013997  -0.0075
212  2016-05-17 05:00:00  15.829511  252.327932 -0.005362  -0.01047  -0.0058
213  2016-05-17 06:01:00 -53.226933   47.855407 -0.001441 -0.006448   0.0041
214  2016-05-17 06:41:00  13.982701  227.509942  0.008954  0.000338   0.0036
215  2016-05-17 08:21:00  12.315939  202.645494 -0.008022 -0.021365  -0.0046
216  2016-05-17 10:02:00  10.828126  177.737094 -0.010774 -0.021441  -0.0052
217  2016-05-17 11:01:00 -41.165823  337.048029 -0.003391 -0.008241  -0.0017
218  2016-05-17 11:42:00   8.396495   153.03938 -0.000465  -0.00809   0.0006
219  2016-05-17 12:30:00   0.357276  322.382649  0.007421 -0.006183   0.0031
220  2016-05-17 13:30:00  31.201145  122.212846  0.003721  -0.00153   0.0036
221  2016-05-17 16:05:00 -46.122419  259.508724  -0.00369 -0.008792  -0.0026
222  2016-05-17 17:45:00 -43.434632  235.268434   0.00055 -0.004078   0.0068
223  2016-05-17 19:21:00 -24.238577  215.706666 -0.000636 -0.009863   0.0036
224  2016-05-17 20:58:00  -9.966237  193.845637 -0.004833 -0.017167    0.003
225  2016-05-17 22:01:00  52.916145  348.149534 -0.004233 -0.010102  -0.0033
226  2016-05-17 22:37:00  -3.519623  170.042356  0.003382 -0.009059   0.0027
227  2016-05-17 23:31:00  16.864929  334.368597 -0.001991 -0.006967   0.0058
228  2016-05-18 01:18:00  35.564843  304.224362 -0.009937 -0.015323  -0.0061
229  2016-05-18 06:14:00  13.563601  234.152396 -0.006888 -0.015264  -0.0127
230  2016-05-18 07:55:00  11.422953  209.395082 -0.004154 -0.012076   0.0003
231  2016-05-18 09:36:00  11.647909  184.096401   0.00151 -0.004893   0.0072
232  2016-05-18 10:38:00 -52.264177  339.130571 -0.006229 -0.009622  -0.0025
233  2016-05-18 11:16:00   9.807127  159.267137  0.002123 -0.003653   0.0082
234  2016-05-18 12:04:00   0.542484  328.969271 -0.003761 -0.017873  -0.0036
235  2016-05-18 17:21:00 -48.122172   240.00181 -0.003544 -0.008152  -0.0036
236  2016-05-18 18:58:00 -34.964243  219.328554 -0.006015 -0.011321  -0.0002
237  2016-05-18 20:33:00 -14.386337  199.380184 -0.011071 -0.024425   -0.011
238  2016-05-18 22:13:00 -10.011702  175.134944  0.000436 -0.008994   0.0026
239  2016-05-18 23:05:00  17.271736  340.818162 -0.007025 -0.011301      0.0
240  2016-05-18 23:53:00  -6.460723  150.686426 -0.000224 -0.007943   0.0043
241  2016-05-19 00:48:00  24.631572  313.772816 -0.004172 -0.011188  -0.0068
242  2016-05-19 05:48:00  13.500572  240.712797 -0.009599 -0.014783  -0.0132
243  2016-05-19 07:29:00  11.064191  216.022715   -0.0073 -0.014687   -0.005
244  2016-05-19 09:10:00  12.175031  190.522168 -0.011928 -0.018722  -0.0061
245  2016-05-19 10:09:00 -43.536777  349.307961 -0.006109 -0.010221  -0.0041
246  2016-05-19 10:50:00  10.038373  165.760796 -0.002043 -0.008267   0.0059
247  2016-05-19 12:35:00  23.895961  137.232007  0.003773 -0.001531   0.0067
248  2016-05-19 13:19:00   0.732689  310.310907  0.004519 -0.008203   0.0041
249  2016-05-19 15:11:00 -39.900737  274.826533  0.005869 -0.000357    0.001
250  2016-05-19 15:56:00  20.271968   87.633614 -0.002979 -0.010308  -0.0027
251  2016-05-19 16:51:00 -35.562515  250.944643  0.005913 -0.002317  -0.0021
252  2016-05-19 18:33:00 -41.318463   223.85502 -0.001194 -0.006001   0.0034
253  2016-05-19 20:07:00 -14.381907  205.927143 -0.010473 -0.026744  -0.0063
254  2016-05-19 21:47:00 -11.836554  181.265923 -0.003876 -0.016011   0.0007
255  2016-05-19 22:44:00  35.622003  342.544942 -0.005761 -0.010387   0.0017
256  2016-05-19 23:25:00  -0.723516  158.507215  0.010557 -0.000956   0.0177
257  2016-05-20 00:20:00  16.548664  322.287891 -0.001733  -0.00628    0.004
258  2016-05-20 01:09:00 -10.756923  131.018543  0.001148 -0.007928   0.0016
259  2016-05-20 03:00:00  -47.70517   95.238945 -0.002475 -0.006615  -0.0007
260  2016-05-20 04:42:00 -51.091041   68.521878 -0.004834 -0.009402  -0.0028
261  2016-05-20 05:22:00  13.260628  247.313965 -0.005532 -0.011822   -0.006
262  2016-05-20 06:23:00 -51.763638    42.95969  -0.00687 -0.010339    0.001
263  2016-05-20 07:03:00  14.603403  221.756759 -0.003365 -0.010718  -0.0053
264  2016-05-20 08:44:00  12.878848  196.907062  0.000566 -0.005681   0.0048
265  2016-05-20 09:45:00 -50.357553  353.111933 -0.009197 -0.011548  -0.0024
266  2016-05-20 10:24:00  10.328241  172.241087  0.000757 -0.006747  -0.0062
267  2016-05-20 11:18:00 -22.696914  336.718216  0.001568 -0.005771   0.0013
268  2016-05-20 12:04:00   7.541855  147.621918  0.004288 -0.001691   0.0052
269  2016-05-20 12:53:00  -1.331145  316.399609  0.001364 -0.012689  -0.0055
270  2016-05-20 14:46:00 -43.387791  280.170537 -0.001334 -0.006699  -0.0034
271  2016-05-20 16:26:00 -40.693828  255.861864   0.00325 -0.003309   0.0008
272  2016-05-20 17:11:00  21.547567    68.62093  0.002599 -0.002102   0.0058
273  2016-05-20 18:09:00 -48.388139   227.73508  -0.00397 -0.007419    0.002
274  2016-05-20 19:42:00 -20.388092  211.050813 -0.003057 -0.014546  -0.0016
275  2016-05-20 21:20:00  -9.468696   188.34904  -0.00248 -0.013482   0.0074
276  2016-05-20 22:20:00  42.047021  347.017336 -0.005842 -0.012025  -0.0031
277  2016-05-20 22:58:00   0.642729  165.355663  0.011828   0.00072   0.0166
278  2016-05-20 23:54:00  16.778891  328.779697 -0.002987 -0.006641   0.0034
279  2016-05-21 01:42:00  43.309516  296.078367 -0.003334 -0.008049   0.0014
280  2016-05-21 02:32:00 -41.204245  104.207224 -0.006998 -0.011091  -0.0052
281  2016-05-21 04:17:00 -53.327072   73.989113 -0.015081 -0.018233  -0.0085
282  2016-05-21 04:57:00  17.271272  252.925652 -0.001895 -0.007751  -0.0024
283  2016-05-21 05:58:00 -54.283049   48.249638 -0.017216 -0.019123  -0.0075
284  2016-05-21 06:37:00  13.948905  228.454303  0.016101  0.006783   0.0116
285  2016-05-21 08:18:00  12.341127  203.576282 -0.002239 -0.013606   -0.004
286  2016-05-21 09:58:00  11.207861  178.587344  0.022856  0.012225   0.0131
287  2016-05-21 10:59:00 -46.473309  336.044185 -0.010364 -0.014275  -0.0102
288  2016-05-21 11:39:00   9.544593  153.717276  0.006972  0.001039   0.0102
289  2016-05-21 12:26:00   0.271642  323.300213  0.004281 -0.007153   0.0031
290  2016-05-21 16:00:00  -40.57445  262.448009 -0.001191 -0.008203  -0.0022
291  2016-05-21 17:42:00 -43.751739  236.090661 -0.005509 -0.010922  -0.0034
292  2016-05-21 19:17:00 -22.854352  216.990767 -0.000949 -0.010719  -0.0003
293  2016-05-21 20:54:00  -9.875593  194.802846  0.000136 -0.009966   0.0132
294  2016-05-21 22:34:00  -4.020035  170.867864   0.01367  0.001462   0.0101
295  2016-05-21 23:28:00  16.714618  335.340732 -0.003703 -0.006368   0.0003
296  2016-05-22 00:17:00 -11.218495  144.005429  0.004098 -0.002827   0.0096
297  2016-05-22 01:14:00  34.185129  305.570689 -0.008499   -0.0132  -0.0048
298  2016-05-22 02:03:00 -31.270869  113.795781   -0.0062 -0.011384  -0.0059
299  2016-05-22 04:29:00  11.305047  260.852722 -0.004624 -0.010244  -0.0026
300  2016-05-22 06:11:00  13.473195  235.110026  -0.00632 -0.012297  -0.0092
301  2016-05-22 07:51:00  11.509801  210.312118  0.001664 -0.004499   0.0018
302  2016-05-22 09:32:00  11.675814  185.026889  0.008588  0.002063   0.0047
303  2016-05-22 10:35:00 -53.954822  339.222171 -0.008452 -0.011275  -0.0073
304  2016-05-22 11:13:00   9.657865  160.237688  0.003476 -0.004305  -0.0041
305  2016-05-22 12:00:00   0.690665  329.938837 -0.010862 -0.024133  -0.0205
306  2016-05-22 13:00:00  31.399008  129.640207  0.001539  -0.00573  -0.0034
307  2016-05-22 15:28:00 -21.769906  274.300947 -0.001516 -0.014629  -0.0117
308  2016-05-22 17:17:00 -47.110894  241.353096  -0.00136 -0.005062   0.0033
309  2016-05-22 18:55:00 -36.513023  219.798682 -0.007366 -0.012116   0.0007
310  2016-05-22 20:30:00 -15.477911  200.063506 -0.009383 -0.021224  -0.0035
311  2016-05-22 22:09:00 -10.100885  176.051747  0.004157 -0.005635   0.0102
312  2016-05-22 23:02:00  17.359852   341.73437 -0.002723 -0.006643   0.0016
313  2016-05-22 23:49:00  -5.782149  151.774888  0.003339 -0.006155   0.0067
314  2016-05-23 00:44:00  23.070515  315.102813 -0.004135 -0.008409  -0.0018
315  2016-05-23 01:32:00 -13.446223  124.795034  0.000059  -0.00881  -0.0007
316  2016-05-23 04:03:00  10.594954  267.559785 -0.007795 -0.015582    -0.01
317  2016-05-23 05:45:00  13.530582  241.642984 -0.011058  -0.01709  -0.0106
318  2016-05-23 07:25:00  11.271515  216.912659 -0.008367 -0.015447  -0.0061
319  2016-05-23 10:46:00    9.53688  166.811215  0.003093  -0.00253    0.005
320  2016-05-23 11:35:00  -1.789432  335.935638  0.001863   -0.0107   0.0034
321  2016-05-23 12:31:00  22.335623  138.558741 -0.000889 -0.006033   0.0023
322  2016-05-23 13:15:00   0.700936  311.240833  0.001696  -0.00993  -0.0011
323  2016-05-23 15:07:00 -38.300284   276.28296   0.00064 -0.004573      0.0
